%t , vf , sr , u_s
1.500000e-02 , 0.000000e+00 , 0.000000e+00 , 1.200000e+01
1.480000e-01 , 2.901177e-01 , 1.900012e+01 , -1.200000e+01
1.490000e-01 , 2.923282e-01 , 1.900926e+01 , -1.200000e+01
1.500000e-01 , 2.945387e-01 , 1.901789e+01 , -1.200000e+01
1.510000e-01 , 2.967492e-01 , 1.900628e+01 , -1.200000e+01
1.520000e-01 , 2.989597e-01 , 1.897580e+01 , -1.200000e+01
1.530000e-01 , 3.011702e-01 , 1.892773e+01 , -1.200000e+01
1.540000e-01 , 3.033807e-01 , 1.886330e+01 , -1.200000e+01
1.550000e-01 , 3.055912e-01 , 1.878364e+01 , -1.200000e+01
1.560000e-01 , 3.078017e-01 , 1.868982e+01 , -1.200000e+01
1.570000e-01 , 3.100122e-01 , 1.858285e+01 , -1.200000e+01
1.580000e-01 , 3.122227e-01 , 1.846368e+01 , -1.200000e+01
1.590000e-01 , 3.144332e-01 , 1.833321e+01 , -1.200000e+01
1.600000e-01 , 3.166437e-01 , 1.819227e+01 , -1.200000e+01
1.610000e-01 , 3.188542e-01 , 1.804166e+01 , -1.200000e+01
1.620000e-01 , 3.210647e-01 , 1.788212e+01 , -1.200000e+01
1.630000e-01 , 3.232752e-01 , 1.771434e+01 , -1.200000e+01
1.640000e-01 , 3.254857e-01 , 1.753899e+01 , -1.200000e+01
1.650000e-01 , 3.276962e-01 , 1.735667e+01 , -1.200000e+01
1.660000e-01 , 3.299067e-01 , 1.716798e+01 , -1.200000e+01
1.670000e-01 , 3.321172e-01 , 1.697345e+01 , -1.200000e+01
1.680000e-01 , 3.343277e-01 , 1.677360e+01 , -1.200000e+01
1.690000e-01 , 3.365382e-01 , 1.656891e+01 , -1.200000e+01
1.700000e-01 , 3.387487e-01 , 1.635983e+01 , -1.200000e+01
1.710000e-01 , 3.409592e-01 , 1.614679e+01 , -1.200000e+01
1.720000e-01 , 3.431697e-01 , 1.593018e+01 , -1.200000e+01
1.730000e-01 , 3.453802e-01 , 1.571038e+01 , -1.200000e+01
1.740000e-01 , 3.475907e-01 , 1.548774e+01 , -1.200000e+01
1.750000e-01 , 3.498012e-01 , 1.526259e+01 , -1.200000e+01
1.760000e-01 , 3.520117e-01 , 1.503523e+01 , -1.200000e+01
1.770000e-01 , 3.542222e-01 , 1.480596e+01 , -1.200000e+01
1.780000e-01 , 3.564327e-01 , 1.457505e+01 , -1.200000e+01
1.790000e-01 , 3.586432e-01 , 1.434275e+01 , -1.200000e+01
1.800000e-01 , 3.608537e-01 , 1.410930e+01 , -1.200000e+01
1.810000e-01 , 3.630642e-01 , 1.387492e+01 , -1.200000e+01
1.820000e-01 , 3.652747e-01 , 1.363982e+01 , -1.200000e+01
1.830000e-01 , 3.674852e-01 , 1.340419e+01 , -1.200000e+01
1.840000e-01 , 3.696957e-01 , 1.316822e+01 , -1.200000e+01
1.850000e-01 , 3.719062e-01 , 1.293208e+01 , -1.200000e+01
1.860000e-01 , 3.741167e-01 , 1.269592e+01 , -1.200000e+01
1.870000e-01 , 3.763272e-01 , 1.245989e+01 , -1.200000e+01
1.880000e-01 , 3.785377e-01 , 1.222414e+01 , -1.200000e+01
1.890000e-01 , 3.807482e-01 , 1.198878e+01 , -1.200000e+01
1.900000e-01 , 3.829587e-01 , 1.175394e+01 , -1.200000e+01
1.910000e-01 , 3.851692e-01 , 1.151974e+01 , -1.200000e+01
1.920000e-01 , 3.873797e-01 , 1.128626e+01 , -1.200000e+01
1.930000e-01 , 3.895902e-01 , 1.105361e+01 , -1.200000e+01
1.940000e-01 , 3.918007e-01 , 1.082189e+01 , -1.200000e+01
1.950000e-01 , 3.940112e-01 , 1.059116e+01 , -1.200000e+01
1.960000e-01 , 3.962216e-01 , 1.036150e+01 , -1.200000e+01
1.970000e-01 , 3.984321e-01 , 1.013299e+01 , -1.200000e+01
1.980000e-01 , 4.006427e-01 , 9.905695e+00 , -1.200000e+01
1.990000e-01 , 4.028534e-01 , 9.679660e+00 , -1.200000e+01
2.000000e-01 , 4.050645e-01 , 9.454941e+00 , -1.200000e+01
2.010000e-01 , 4.072758e-01 , 9.231589e+00 , -1.200000e+01
2.020000e-01 , 4.094874e-01 , 9.009650e+00 , -1.200000e+01
2.030000e-01 , 4.116993e-01 , 8.789166e+00 , -1.200000e+01
2.040000e-01 , 4.139115e-01 , 8.570175e+00 , -1.200000e+01
2.050000e-01 , 4.161241e-01 , 8.352712e+00 , -1.200000e+01
2.060000e-01 , 4.183370e-01 , 8.136807e+00 , -1.200000e+01
2.070000e-01 , 4.205503e-01 , 7.922488e+00 , -1.200000e+01
2.080000e-01 , 4.227640e-01 , 7.709782e+00 , -1.200000e+01
2.090000e-01 , 4.249781e-01 , 7.498709e+00 , -1.200000e+01
2.100000e-01 , 4.271926e-01 , 7.289290e+00 , -1.200000e+01
2.110000e-01 , 4.294075e-01 , 7.081542e+00 , -1.200000e+01
2.120000e-01 , 4.316229e-01 , 6.875480e+00 , -1.200000e+01
2.130000e-01 , 4.338388e-01 , 6.671116e+00 , -1.200000e+01
2.140000e-01 , 4.360552e-01 , 6.468462e+00 , -1.200000e+01
2.150000e-01 , 4.382722e-01 , 6.267526e+00 , -1.200000e+01
2.160000e-01 , 4.404897e-01 , 6.068316e+00 , -1.200000e+01
2.170000e-01 , 4.427078e-01 , 5.870836e+00 , -1.200000e+01
2.180000e-01 , 4.449266e-01 , 5.675092e+00 , -1.200000e+01
2.190000e-01 , 4.471461e-01 , 5.481084e+00 , -1.200000e+01
2.200000e-01 , 4.493663e-01 , 5.288815e+00 , -1.200000e+01
